GAME_ID,TEAM_1,TEAM_2,TEAM_1_STRATEGY,TEAM_2_STRATEGY,TEAM_1_PTS,TEAM_2_PTS,WINNER
22301038,HOU,POR,2,1,110,92,HOU
22301040,MEM,DEN,0,4,103,128,DEN
22301041,UTA,DAL,0,0,105,115,DAL
22301042,PHI,SAC,2,2,96,108,SAC
22301043,IND,LAC,1,1,133,116,IND
22301044,MIA,GSW,4,0,92,113,GSW
22301045,LAL,MIL,3,3,128,124,LAL
22301046,OKC,NOP,2,2,119,112,OKC
22301047,SAC,DAL,4,0,96,132,DAL
22301049,GSW,ORL,4,4,101,93,GSW
22301051,ATL,POR,2,4,120,106,ATL
22301052,PHI,LAC,2,4,107,108,LAC
22301053,TOR,NYK,4,0,101,145,NYK
22301054,IND,CHI,0,1,99,125,CHI
22301055,MEM,LAL,3,3,124,136,LAL
22301056,MIN,DET,0,2,106,91,MIN
22301057,OKC,HOU,3,3,126,132,HOU
22301058,UTA,SAS,3,4,111,118,SAS
22301060,ATL,BOS,2,3,123,122,ATL
22301061,MIL,NOP,2,1,100,107,NOP
22301063,LAL,IND,4,4,90,109,IND
22301064,LAC,ORL,1,1,100,97,LAC
22301065,WAS,DET,4,1,87,96,DET
22301067,CLE,PHI,0,2,117,114,CLE
22301068,MIA,POR,0,4,142,82,MIA
22301070,NYK,SAS,3,0,126,130,SAS
22301071,DEN,MIN,4,4,98,111,MIN
22301072,HOU,UTA,2,2,101,100,HOU
22301073,SAC,DAL,4,2,103,107,DAL
22301074,NOP,BOS,2,0,92,104,BOS
22301075,MEM,ORL,0,0,88,118,ORL
22301076,ATL,MIL,1,1,113,122,MIL
22301077,CLE,DEN,4,4,101,130,DEN
22301080,TOR,PHI,4,2,120,135,PHI
22301081,WAS,MIA,3,2,107,119,MIA
22301082,NYK,OKC,2,0,112,113,OKC
22301083,DAL,HOU,2,2,125,107,DAL
22301084,MIN,CHI,0,4,101,109,CHI
22301085,SAS,GSW,0,0,113,117,GSW
22301086,SAC,UTA,0,2,127,106,SAC
22301088,MEM,DET,4,1,110,108,MEM
22301090,ORL,POR,0,4,104,103,ORL
22301091,ATL,CHI,0,1,113,101,ATL
22301093,PHI,OKC,4,0,109,105,PHI
22301094,TOR,LAL,3,4,111,128,LAL
22301095,WAS,MIL,3,0,117,113,WAS
22301096,MIA,NYK,2,0,109,99,MIA
22301097,GSW,DAL,4,4,106,108,DAL
22301098,MIN,HOU,4,2,113,106,MIN
22301099,DEN,SAS,4,0,110,105,DEN
22301100,CLE,UTA,0,3,129,113,CLE
22301101,LAC,SAC,1,0,95,109,SAC
